tournament_year,team,fifa_rank,ranking_date,source_url
1994,Argentina,8,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Belgium,27,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Bolivia,43,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Brazil,3,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Bulgaria,29,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Cameroon,24,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Colombia,17,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Germany,1,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Greece,31,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Italy,4,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Mexico,16,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Morocco,28,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Netherlands,2,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Nigeria,11,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Norway,6,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Republic of Ireland,14,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Romania,7,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Russia,19,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Saudi Arabia,34,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,South Korea,37,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Spain,5,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Sweden,10,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,Switzerland,12,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1994,United States,23,1994-06-14,https://en.wikipedia.org/wiki/1994_FIFA_World_Cup
1998,Argentina,6,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Austria,31,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Belgium,36,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Brazil,1,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Bulgaria,35,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Cameroon,49,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Chile,9,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Colombia,10,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Croatia,19,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Denmark,27,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,England,5,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,France,18,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Germany,2,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Iran,42,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Italy,14,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Jamaica,30,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Japan,12,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Mexico,4,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Morocco,13,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Netherlands,25,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
1998,Nigeria,74,1998-05-20,https://en.wikipedia.org/wiki/1998_FIFA_World_Cup
